Time resolution is 1 ps
================================================
Bat dau mo phong RISC-V
Clock Wizard va PC dang reset
================================================
[0] locked_0 thay doi thanh 0
[5000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[15000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[25000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[35000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[45000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[55000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[65000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[75000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[85000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[95000] clk_rst=1 pc_rst=1 locked=0 C=0 N=0 V=0
[100000] Da nha clk_rst, cho Clock Wizard lock.
[105000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[115000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[125000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[135000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[145000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[155000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[165000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[175000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[185000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[195000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[205000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[215000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[225000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[235000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[245000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[255000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[265000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[275000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[285000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[295000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[305000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[315000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[325000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[335000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[345000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
[355000] clk_rst=0 pc_rst=1 locked=0 C=0 N=0 V=0
